solver,family,theory,cumulative_time
cvc5-0.0.12,CVC4/5,RealInts,3695.34580874443
cvc5-0.0.2,CVC4/5,RealInts,3456.80548858643
cvc5-0.0.3,CVC4/5,RealInts,3464.97686934471
cvc5-0.0.4,CVC4/5,RealInts,3516.45266842842
cvc5-0.0.5,CVC4/5,RealInts,3564.46947932243
cvc5-0.0.6,CVC4/5,RealInts,3565.26729393005
cvc5-0.0.7,CVC4/5,RealInts,3558.29502129555
cvc5-0.0.8,CVC4/5,RealInts,3719.58112597466
cvc5-1.0.0,CVC4/5,RealInts,3708.35103225708
cvc5-1.0.1,CVC4/5,RealInts,3770.61634039879
cvc5-1.0.2,CVC4/5,RealInts,3770.99215650558
cvc5-1.0.3,CVC4/5,RealInts,3760.74436593056
cvc5-1.0.4,CVC4/5,RealInts,3812.90602779388
cvc5-1.0.5,CVC4/5,RealInts,3798.62204909325
cvc5-1.0.6,CVC4/5,RealInts,3821.95939016342
cvc5-1.0.7,CVC4/5,RealInts,3847.00325417519
cvc5-1.0.8,CVC4/5,RealInts,3861.70051908493
cvc5-1.0.9,CVC4/5,RealInts,3796.54284954071
cvc5-1.1.0,CVC4/5,RealInts,3797.05151581764
cvc5-1.1.1,CVC4/5,RealInts,3818.95391774178
cvc5-1.1.2,CVC4/5,RealInts,3912.87824821472
z3-4.10.0,Z3,RealInts,11955.296066761
z3-4.10.1,Z3,RealInts,11938.0848677158
z3-4.10.2,Z3,RealInts,11978.1713149548
z3-4.11.0,Z3,RealInts,12073.4559149742
z3-4.11.2,Z3,RealInts,12110.0769612789
z3-4.12.0,Z3,RealInts,12755.6177771091
z3-4.12.1,Z3,RealInts,12648.4775004387
z3-4.12.2,Z3,RealInts,13506.8987019062
z3-4.12.3,Z3,RealInts,13084.7974646091
z3-4.12.4,Z3,RealInts,13095.0563294888
z3-4.12.5,Z3,RealInts,13162.3569447994
z3-4.12.6,Z3,RealInts,13040.0313899517
z3-4.13.0,Z3,RealInts,13059.1971073151
z3-4.5.0,Z3,RealInts,6236.86720943451
z3-4.6.0,Z3,RealInts,6600.77035117149
z3-4.7.1,Z3,RealInts,7856.68530464172
z3-4.8.1,Z3,RealInts,8122.19976449013
z3-4.8.10,Z3,RealInts,7544.07837057114
z3-4.8.11,Z3,RealInts,11680.7567136288
z3-4.8.12,Z3,RealInts,11551.0059361458
z3-4.8.13,Z3,RealInts,11691.9848480225
z3-4.8.14,Z3,RealInts,11696.083106041
z3-4.8.15,Z3,RealInts,11826.6710500717
z3-4.8.16,Z3,RealInts,11921.7117702961
z3-4.8.17,Z3,RealInts,11976.3979148865
z3-4.8.3,Z3,RealInts,8167.97718191147
z3-4.8.4,Z3,RealInts,8169.56776738167
z3-4.8.5,Z3,RealInts,8141.21138358116
z3-4.8.6,Z3,RealInts,8598.71120047569
z3-4.8.7,Z3,RealInts,8589.32578015327
z3-4.8.8,Z3,RealInts,7988.18572545052
z3-4.8.9,Z3,RealInts,7492.38481593132
z3-4.9.0,Z3,RealInts,12048.9706778526
z3-4.9.1,Z3,RealInts,12054.4339513779
cvc4-1.5,CVC4/5,Reals,3171.58030366898
cvc4-1.6,CVC4/5,Reals,2916.31797671318
cvc4-1.7,CVC4/5,Reals,3034.18058443069
cvc4-1.8,CVC4/5,Reals,3238.60518908501
cvc5-0.0.10,CVC4/5,Reals,3558.51394963264
cvc5-0.0.11,CVC4/5,Reals,3556.35359191895
cvc5-0.0.12,CVC4/5,Reals,3542.35915756226
cvc5-0.0.2,CVC4/5,Reals,3297.66356563568
cvc5-0.0.3,CVC4/5,Reals,3304.20725035667
cvc5-0.0.4,CVC4/5,Reals,3349.42789077759
cvc5-0.0.5,CVC4/5,Reals,3398.48695659637
cvc5-0.0.6,CVC4/5,Reals,3400.34008073807
cvc5-0.0.7,CVC4/5,Reals,3395.30456233025
cvc5-0.0.8,CVC4/5,Reals,3566.55456066132
cvc5-1.0.0,CVC4/5,Reals,3555.24963283539
cvc5-1.0.1,CVC4/5,Reals,3616.42148303986
cvc5-1.0.2,CVC4/5,Reals,3616.56841230392
cvc5-1.0.3,CVC4/5,Reals,3606.7948756218
cvc5-1.0.4,CVC4/5,Reals,3654.76251912117
cvc5-1.0.5,CVC4/5,Reals,3644.58530879021
cvc5-1.0.6,CVC4/5,Reals,3638.02171945572
cvc5-1.0.7,CVC4/5,Reals,3665.53535795212
cvc5-1.0.8,CVC4/5,Reals,3679.05150508881
cvc5-1.0.9,CVC4/5,Reals,3626.89588880539
cvc5-1.1.0,CVC4/5,Reals,3627.52714514732
cvc5-1.1.1,CVC4/5,Reals,3643.36893773079
cvc5-1.1.2,CVC4/5,Reals,3735.72919487953
z3-4.10.0,Z3,Reals,11425.0950484276
z3-4.10.1,Z3,Reals,11410.4314398766
z3-4.10.2,Z3,Reals,11448.9266507626
z3-4.11.0,Z3,Reals,11539.2729175091
z3-4.11.2,Z3,Reals,11576.4340860844
z3-4.12.0,Z3,Reals,12207.3870515823
z3-4.12.1,Z3,Reals,12104.8875567913
z3-4.12.2,Z3,Reals,12925.4261753559
z3-4.12.3,Z3,Reals,12519.1215171814
z3-4.12.4,Z3,Reals,12529.6603364944
z3-4.12.5,Z3,Reals,12587.3832857609
z3-4.12.6,Z3,Reals,12465.1833412647
z3-4.13.0,Z3,Reals,12498.9293267727
z3-4.5.0,Z3,Reals,5946.19118309021
z3-4.6.0,Z3,Reals,6284.28424668312
z3-4.7.1,Z3,Reals,7461.36813306808
