solver,result,count,theory,family
z3-4.12.2,sat,570138,FP,Z3
z3-4.12.3,sat,571455,FP,Z3
z3-4.12.4,sat,571422,FP,Z3
z3-4.12.5,sat,571781,FP,Z3
z3-4.12.6,sat,571846,FP,Z3
z3-4.13.0,sat,571554,FP,Z3
z3-4.5.0,sat,583313,FP,Z3
z3-4.6.0,sat,574470,FP,Z3
z3-4.7.1,sat,574149,FP,Z3
z3-4.8.1,sat,571593,FP,Z3
z3-4.8.10,sat,573772,FP,Z3
z3-4.8.11,sat,570408,FP,Z3
z3-4.8.12,sat,570954,FP,Z3
z3-4.8.13,sat,573892,FP,Z3
z3-4.8.14,sat,574293,FP,Z3
z3-4.8.15,sat,574345,FP,Z3
z3-4.8.16,sat,574245,FP,Z3
z3-4.8.17,sat,574127,FP,Z3
z3-4.8.3,sat,571937,FP,Z3
z3-4.8.4,sat,574849,FP,Z3
z3-4.8.5,sat,575452,FP,Z3
z3-4.8.6,sat,572453,FP,Z3
z3-4.8.7,sat,572864,FP,Z3
z3-4.8.8,sat,573102,FP,Z3
z3-4.8.9,sat,563928,FP,Z3
z3-4.9.0,sat,574338,FP,Z3
z3-4.9.1,sat,574298,FP,Z3
cvc4-1.5,unsat,12,FP,CVC4/5
cvc4-1.6,unsat,12,FP,CVC4/5
cvc4-1.7,unsat,233956,FP,CVC4/5
cvc4-1.8,unsat,236412,FP,CVC4/5
cvc5-0.0.10,unsat,233523,FP,CVC4/5
cvc5-0.0.11,unsat,233518,FP,CVC4/5
cvc5-0.0.12,unsat,233731,FP,CVC4/5
cvc5-0.0.2,unsat,232360,FP,CVC4/5
cvc5-0.0.3,unsat,232324,FP,CVC4/5
cvc5-0.0.4,unsat,232887,FP,CVC4/5
cvc5-0.0.5,unsat,232984,FP,CVC4/5
cvc5-0.0.6,unsat,232960,FP,CVC4/5
cvc5-0.0.7,unsat,233022,FP,CVC4/5
cvc5-0.0.8,unsat,233431,FP,CVC4/5
cvc5-1.0.0,unsat,233689,FP,CVC4/5
cvc5-1.0.1,unsat,233278,FP,CVC4/5
cvc5-1.0.2,unsat,233421,FP,CVC4/5
cvc5-1.0.3,unsat,236997,FP,CVC4/5
cvc5-1.0.4,unsat,237047,FP,CVC4/5
cvc5-1.0.5,unsat,236959,FP,CVC4/5
cvc5-1.0.6,unsat,236315,FP,CVC4/5
